,Unnamed: 0,path,before_sentence,after_sentence
0,0,r1_000.mp3,['สวัสดี เพิกหญ้า   เพิ่ม เรื่องดู สงสัย พร้ำจาก   จะ ตาย อ่ะ่'],สวัสดีเพื่มอย่า เพื่มเลือกกูสงสัยเพิ่มอยากจะตายอ่ะ
1,1,r1_001.mp3,['เรือ ดรู สงสัย พบ จาก   จะ ตาย   อ่ะพร้อม  เรือก กู สง สัย พบ จาก   จะ ตาย  เกี๋ยว คมมึง'],เลือกกูสงสัยเพื่ออยากจะตายอ่ะ เพิ่มเลือกกูสงสัยเพื่ออยากจะตายอ่ะ เดี๋ยวพวกมึงได้เห็น
2,2,r1_002.mp3,['ใน พ่อไมี่ ส่ ง อง กาส กระจาย และบ้อม ให้ ฮา ร้อย ะถั้ม ขวา ภูน'],ในเพิ่มแม่งโชว์ความกากกระจายเลย เพิ่ม ให้ห้าร้อยถ้ามึงปราบกู หน้าอย่าดึง
3,3,r1_003.mp3,['มมาก ใน่ อูเกิ้ล ลอ   ให้ ขัน หยะ อุมพร ที่ มุงโก ก็ ไม่ มี ใคร เขา ยาก ลวย'],มาก เดี๋ยวกูก็ล่อแม่งทั้งหยากกู ตอนที่มึงปู ก็ไม่มีใครอยากดู ไอ้สัส
4,4,r1_004.mp3,['ถ้า อยาก ชะ นั ก็ คาน มะกล่าว กู   อา   ด็ป ลูก มา ด้าย กา ใช้'],ถ้าอยากชนะก็คลานมากราบกู อ้ะ ถ้าเข้ามาได้ก็ใช้
5,5,r1_005.mp3,['พาก ที่ ดี ละ งอง มาก โถ เพิ่ม  จะ ตก หู ก็ คงจะ'],ที่ดี ละงงมาก โถ่เพิ่ม จะตกกูก็คงยาก ละที่มึงเลือก
6,6,r1_006.mp3,['หุมวาม ล็นองค พลาด   เพราะ มันไล ไม่ ใช้ ก หัวเดา   เมีย ใน ล'],เลือกกู อ้า กูว่าก็คงพล่าม  ทำอะไรเหมือนมึงไม่ใช้หัวเดา เมียในรู
7,7,r1_007.mp3,['ู ย มั หัว เธอ ก็ เหมือน หัวราว   นา กะ ผา ไว้ ไส่ กน หัว เตา'],รู้ยังว่าผัวเธอก็เหมือนผัวเรา นาย เก็บปากไว้ไส่กับหัวเตา
8,8,r1_008.mp3,['มี นาย รอก ก่ จ้า เป็นเมีย ที่ ไม่ หัวเอา โถะ อย่าง ลูกู้เตา   ติ กูเตรา  ตอร'],เมียนายและไม่เป็นเมียที่ไม่ผัวเอา โถ่ อยากรู้กูเต้าจริง กูเต้าปลอม ถ้ามึง
9,9,r1_009.mp3,['พุขภาพ ไป เข้านอน   ปรวด หู่ บ้าทว็ะยาอ พาย ที่ ก้า้าวฉามม่ตู'],พูดมากเดี๋ยวกูต้องพาไปเข้านอน ปวดกูบ้างเรื่องหยาบคาย ช่ำชองกูไม่สน
10,10,r1_010.mp3,['หล่อน ดำ แลง ผู้สวย จน ม อยาก กัด เด้า ก่อน   ไอ้ เหี้ย เนาทาน ตะกู จั๊ก ด่า   มึง ให้ ตาย'],ไม่สวยหรอก แต่เวลากูสวยจนอยากกระเด้าก่อน ไอ้เหี้ยเนิร์ดทำเดี๋ยวกูจะด่ามึงให้ตาย
11,11,r1_011.mp3,['้ย ไอ้ เหี่ย เนิส   ถ้า ตะ กู จะ ด่า   มึ่ง ใน้ ตาย   ไอ้ เหี่ย เนิส   ถ้า ตะ กู จะ ด่า   มาก ให่ ตาย'],ไอ้เหี้ยเนิร์ดทำเดี๋ยวกูจะด่ามึงให้ตาย ไอ้เหี้ยเนิร์ดทำเดี๋ยวกูจะด่ามึงให้ตาย
