,Unnamed: 0.1,Column1,Unnamed: 0,path,before_sentence,after_sentence
0,0,0,0,000.mp3,['รเรียบร้อย   แมค แงร์ ก็ ไม่ ระว่า มอง บอก ม่า เลย   โดวย ยา   สดูม กู'],เรียบร้อย แม็คยังไงก็ไม่รอด ผมบอกไว้เลย เห้ยอย่า รุมกู
1,1,1,1,001.mp3,['ดู ความ รวย ของ เธอ ก่อน   ผม มา ใช้ โทรศัพท'],ดูความรวยผมซะก่อน ผมอ่ะใช้โทรศัพท์
2,2,2,2,002.mp3,['สาม เครื่อง เวลา เลยะ นา เวี ออะ   แต่นะ เครื่อง นี่ คานนั่ง หนึ่ง แสน บอก เลย อะ'],สามเครื่องอ่ะเวลาเล่นอาโอวีอ่ะเออ แต่ละเครื่องนี่ เครื่องละหนึ่งแสน กูบอกไว้เลยอะ
3,3,3,3,003.mp3,['ด้วย บ้าว   โหู ใช้ซึ่ง สอง'],เป็นไง รวยป่าว โห่ อิจฉาอ่ะดิ ซื้อสองเครื่อง
4,4,4,4,004.mp3,['เรื่อง นี้ นะ ฮัสั่ง มาจาก นอกก นะ   เมือ ไทย ไม่ มี ขาย นะ   แต่ ผม ชอบใช้ เรื่วงนี้ เลย รับ'],เครื่องนี้นะฮะสั่งมาจากนอกนะ เมืองไทยไม่มีขายนะ แต่ผชอบเครื่องนี้เล่นนะ
5,5,5,5,005.mp3,['นีเวลับ ของ ใช้  ได้รับ ผม เต็กเก่ง มาก นองเวลา ของ ใช้ คงนี้ ได้ หละ   ลา ผม เล่ น แบบ   ใช้ ตีนเล่นมองว่า เธะ ใช้'],ปกติเวลาผมใช้เล่นอะ ผมจะเก่งมากนะเวลาผมใช้เครื่องนี้เล่นอ่ะ เวลาผมเล่นแบบ ใช้ตีนเล่น
6,6,6,6,006.mp3,['ร้ สอง เครื่อง นี้ เลน น ไหบะนะท   อ้า  เละทาวี ได้ นะ   ไอ้ มัย หู่ลื่น'],ใช้สอ
7,7,7,7,007.mp3,['เอพี เอส นี่ คูด เยอ อะ   ไม่ แห ลก เลือขึ้น ในือ อ่า สอง เครื่องย่า'],รู้ป่าวเอสพีเอส นี่โคตรเยอะอะ ไม่แลคเลยเครื่องเนี้ย สองเครื่องเนี้ย
8,8,8,8,008.mp3,['า ไม่ รู้ หรอกว่าง   รวย ห้อง นี้ แน่น้อง เออ   วู เมื่อหวาน ก่อ'],ไม่รู้หรอกว่า รวยก็งี้แหละน้อง โห้ว เมื่อวานก็
9,9,9,9,009.mp3,['มง คี ฟ น้า ไป จัก  ใบ ดัง มา แดง ที่ ทหาร นะ   แต่ รู้บ่า  ดหู จะ บอก   เมื่อวัน'],มึงคีฟน้า ไปจับใบดำ ใบแดง ที่ทหารนะ แต่มึงรู้ป่าว เดี๋ยวกูจะบอกนะ
